"country","year","province","municipality","municipality_normalized","waste_generation_tpd","managed_waste_pct","unmanaged_waste_pct","leaked_to_environment_pct","rdf_status","wte_psel","composition_match","food_waste_share_pct","paper_cardboard_share_pct","plastic_share_pct","paper_plastic_share_pct","combustible_dry_share_pct","reported_component_sum_pct","municipality_feedstock_risk_score_0_100","municipality_feedstock_risk_level","risk_formula_note"
"Indonesia","2025","Bengkulu","Kabupaten Bengkulu Selatan","kabupaten bengkulu selatan","86.66","0","1","0.88","","Tidak Ada","unmatched","","","","","","","96.57","High","0.40 food share + 0.25 dry combustible deficit + 0.25 unmanaged waste + 0.10 leaked-to-environment; draft screening index"
"Indonesia","2025","Bengkulu","Kabupaten Rejang Lebong","kabupaten rejang lebong","144.42","0","1","0.67","","Tidak Ada","unmatched","","","","","","","90.57","High","0.40 food share + 0.25 dry combustible deficit + 0.25 unmanaged waste + 0.10 leaked-to-environment; draft screening index"
"Indonesia","2025","Bengkulu","Kabupaten Bengkulu Utara","kabupaten bengkulu utara","185.86","0.8","0.2","0.2","","Tidak Ada","matched","31","10","40","50","62","100","25.8","Low","0.40 food share + 0.25 dry combustible deficit + 0.25 unmanaged waste + 0.10 leaked-to-environment; draft screening index"
"Indonesia","2025","Bengkulu","Kabupaten Kaur","kabupaten kaur","53.25","0.04","0.96","0.81","","Tidak Ada","unmatched","","","","","","","91.71","High","0.40 food share + 0.25 dry combustible deficit + 0.25 unmanaged waste + 0.10 leaked-to-environment; draft screening index"
"Indonesia","2025","Bengkulu","Kabupaten Seluma","kabupaten seluma","107.5","0","1","0.98","","Tidak Ada","matched","80","5","2","7","16.5","100","99.8","High","0.40 food share + 0.25 dry combustible deficit + 0.25 unmanaged waste + 0.10 leaked-to-environment; draft screening index"
"Indonesia","2025","Bengkulu","Kabupaten Mukomuko","kabupaten mukomuko","100.85","0","1","0.86","","Tidak Ada","unmatched","","","","","","","96","High","0.40 food share + 0.25 dry combustible deficit + 0.25 unmanaged waste + 0.10 leaked-to-environment; draft screening index"
"Indonesia","2025","Bengkulu","Kabupaten Lebong","kabupaten lebong","45.91","0","1","0.74","","Tidak Ada","matched","64.45","8.56","12.84","21.4","32.48","99.96","92.15","High","0.40 food share + 0.25 dry combustible deficit + 0.25 unmanaged waste + 0.10 leaked-to-environment; draft screening index"
"Indonesia","2025","Bengkulu","Kabupaten Kepahiang","kabupaten kepahiang","62.21","0.01","0.99","0.67","","Tidak Ada","unmatched","","","","","","","89.86","High","0.40 food share + 0.25 dry combustible deficit + 0.25 unmanaged waste + 0.10 leaked-to-environment; draft screening index"
"Indonesia","2025","Bengkulu","Kabupaten Bengkulu Tengah","kabupaten bengkulu tengah","61.34","0.02","0.98","0.76","","Tidak Ada","matched","","","","0","0","0","95.17","High","0.40 food share + 0.25 dry combustible deficit + 0.25 unmanaged waste + 0.10 leaked-to-environment; draft screening index"
"Indonesia","2025","Bengkulu","Kota Bengkulu","kota bengkulu","158.93","0.01","0.99","0","","Tidak Ada","unmatched","","","","","","","70.71","High","0.40 food share + 0.25 dry combustible deficit + 0.25 unmanaged waste + 0.10 leaked-to-environment; draft screening index"
"Indonesia","2025","DI Yogyakarta","Kabupaten Kulon Progo","kabupaten kulon progo","217.29","0.49","0.51","0.51","","Tidak Ada","unmatched","","","","","","","51","Medium","0.40 food share + 0.25 dry combustible deficit + 0.25 unmanaged waste + 0.10 leaked-to-environment; draft screening index"
"Indonesia","2025","DI Yogyakarta","Kabupaten Bantul","kabupaten bantul","421.52","0.44","0.56","0.56","PKS - Operasional","Dalam Perencanaan","unmatched","","","","","","","56","Medium","0.40 food share + 0.25 dry combustible deficit + 0.25 unmanaged waste + 0.10 leaked-to-environment; draft screening index"
"Indonesia","2025","DI Yogyakarta","Kabupaten Gunung Kidul","kabupaten gunung kidul","368.57","0.38","0.62","0.62","Telah MoU","Tidak Ada","unmatched","","","","","","","62","Medium","0.40 food share + 0.25 dry combustible deficit + 0.25 unmanaged waste + 0.10 leaked-to-environment; draft screening index"
"Indonesia","2025","DI Yogyakarta","Kabupaten Sleman","kabupaten sleman","585.3","0.22","0.78","0.78","PKS - Operasional","Dalam Perencanaan","unmatched","","","","","","","78","High","0.40 food share + 0.25 dry combustible deficit + 0.25 unmanaged waste + 0.10 leaked-to-environment; draft screening index"
"Indonesia","2025","DI Yogyakarta","Kota Yogyakarta","kota yogyakarta","332.48","0.57","0.43","0.26","PKS - Operasional","Dalam Perencanaan","unmatched","","","","","","","38.14","Low","0.40 food share + 0.25 dry combustible deficit + 0.25 unmanaged waste + 0.10 leaked-to-environment; draft screening index"
"Indonesia","2025","DKI Jakarta","Kabupaten Kepulauan Seribu","kabupaten kepulauan seribu","29.76","0.33","0.67","0.02","","Dalam Perencanaan","unmatched","","","","","","","48.43","Medium","0.40 food share + 0.25 dry combustible deficit + 0.25 unmanaged waste + 0.10 leaked-to-environment; draft screening index"
"Indonesia","2025","DKI Jakarta","Kota Jakarta Selatan","kota jakarta selatan","2005.37","0.2","0.8","0","","Dalam Perencanaan","matched","49.87","17.24","22.95","40.19","44.97","100","59.6","Medium","0.40 food share + 0.25 dry combustible deficit + 0.25 unmanaged waste + 0.10 leaked-to-environment; draft screening index"
"Indonesia","2025","DKI Jakarta","Kota Jakarta Timur","kota jakarta timur","2455.12","0.16","0.84","0.1","","Dalam Perencanaan","matched","49.87","17.24","22.95","40.19","44.97","100","61.6","Medium","0.40 food share + 0.25 dry combustible deficit + 0.25 unmanaged waste + 0.10 leaked-to-environment; draft screening index"
"Indonesia","2025","DKI Jakarta","Kota Jakarta Pusat","kota jakarta pusat","858.09","0.18","0.82","0.01","","Dalam Perencanaan","matched","49.87","17.24","22.95","40.19","44.97","100","60.2","Medium","0.40 food share + 0.25 dry combustible deficit + 0.25 unmanaged waste + 0.10 leaked-to-environment; draft screening index"
"Indonesia","2025","DKI Jakarta","Kota Jakarta Barat","kota jakarta barat","1943.13","0.26","0.74","0","","Dalam Perencanaan","matched","49.87","17.24","22.95","40.19","44.97","100","58.1","Medium","0.40 food share + 0.25 dry combustible deficit + 0.25 unmanaged waste + 0.10 leaked-to-environment; draft screening index"
"Indonesia","2025","DKI Jakarta","Kota Jakarta Utara","kota jakarta utara","1410.64","0.21","0.79","0","","Dalam Perencanaan","matched","","","","0","0","0","74.58","High","0.40 food share + 0.25 dry combustible deficit + 0.25 unmanaged waste + 0.10 leaked-to-environment; draft screening index"
"Indonesia","2025","Gorontalo","Kabupaten Boalemo","kabupaten boalemo","76.05","0","1","0.79","","Tidak Ada","unmatched","","","","","","","94","High","0.40 food share + 0.25 dry combustible deficit + 0.25 unmanaged waste + 0.10 leaked-to-environment; draft screening index"
"Indonesia","2025","Gorontalo","Kabupaten Gorontalo","kabupaten gorontalo","168.68","0.21","0.79","0.79","","Tidak Ada","unmatched","","","","","","","79","High","0.40 food share + 0.25 dry combustible deficit + 0.25 unmanaged waste + 0.10 leaked-to-environment; draft screening index"
"Indonesia","2025","Gorontalo","Kabupaten Pohuwato","kabupaten pohuwato","64.07","0.46","0.54","0.54","","Tidak Ada","unmatched","","","","","","","54","Medium","0.40 food share + 0.25 dry combustible deficit + 0.25 unmanaged waste + 0.10 leaked-to-environment; draft screening index"
