"country","year","province","municipality","waste_generation_tpd","food_waste_share_pct","paper_cardboard_share_pct","plastic_share_pct","known_share_pct","unknown_or_other_share_pct","estimated_lhv_low_food_unknown_zero_mj_per_kg","estimated_lhv_mixed_food_unknown_zero_mj_per_kg","estimated_lhv_mixed_food_other5_mj_per_kg","existing_feedstock_risk_score_0_100","source_note"
"Indonesia","2025","Jawa Timur","Kabupaten Ponorogo","391.09","20","16.53","21.89","58.42","42","11.739","12.239","14.339","37.15","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","Jawa Timur","Kabupaten Trenggalek","301.52","45","13","21","79","21","11.763","12.889","13.939","56.9","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","Jawa Timur","Kabupaten Blitar","417","40","12.55","15","67.55","32","9.142","10.142","11.742","74.55","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","Jawa Timur","Kabupaten Kediri","676.79","41.04","9.61","16.72","67.37","33","9.444","10.47","12.12","57.1","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","Jawa Timur","Kabupaten Malang","1093.96","7","9.4","12","28.4","72","6.344","6.519","10.119","36.5","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","Jawa Timur","Kabupaten Banyuwangi","839.1","60.59","5.77","14.75","81.11","19","8.804","10.319","11.269","76.6","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","Jawa Timur","Kabupaten Bondowoso","315.2","37.01","15.47","21.54","74.02","26","12.047","12.973","14.273","63.65","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","Jawa Timur","Kabupaten Probolinggo","477.31","52.02","16.6","16.91","85.53","14","10.897","12.198","12.898","79.1","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","Jawa Timur","Kabupaten Pasuruan","833.7","58.5","5.7","10","74.2","26","6.835","8.298","9.598","88.65","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","Jawa Timur","Kabupaten Jombang","530.53","50","10","18","78","22","10.322","11.573","12.673","60.7","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","Jawa Timur","Kabupaten Nganjuk","743.93","61.5","13.1","12.3","86.9","13","8.904","10.442","11.092","73","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","Jawa Timur","Kabupaten Madiun","295.09","57.8","11.3","25.7","94.8","5","13.838","15.283","15.533","60.4","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","Jawa Timur","Kabupaten Magetan","276.65","36.28","8.22","14.25","58.75","41","8.099","9.006","11.056","52.1","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
"Indonesia","2025","Jawa Timur","Kabupaten Ngawi","371.87","60","11","12.5","83.5","16","8.632","10.133","10.933","83.35","Draft scenario estimate using Novita & Damanhuri 2010 component LHV; not a facility-measured LHV."
